player_name,player_id,total_four
"SK Trivedi",39,40
"S Dhawan",42,40
"Pankaj Singh",75,40
"AM Rahane",85,40
"B Chipli",93,40
"DW Steyn",94,40
"BJ Hodge",104,40
"A Mishra",136,40
"JP Duminy",154,40
"J Botha",192,40
"A Singh",196,40
"OA Shah",204,40
"AA Jhunjhunwala",211,40
"DT Christian",258,40
"AL Menaria",266,40
"Ankit Sharma",314,40
"GB Hogg",316,40
"Anand Rajan",446,40
"T Mishra",469,40
"MR Marsh",253,40
"B Sumanth",250,40
"RS Sodhi",247,40
"VS Malik",243,40
"R Sharma",235,40
"SJ Srivastava",234,40
"J Theron",233,40
"MD Mishra",231,40
"RJ Harris",188,40
"TL Suman",178,40
"PP Ojha",131,40
"SE Marsh",100,40
"PP Chawla",67,40
"DPMD Jayawardene",64,40
"RP Singh",61,40
"RG Sharma",57,40
"A Symonds",56,40
"AC Gilchrist",53,40
"IK Pathan",29,40
"Yuvraj Singh",27,40
"KC Sangakkara",26,40
"K Goel",24,40
"DP Nannes",223,40
"SP Narine",315,40
"Mohammed Shami",347,40
"CH Morris",350,40
"MM Sharma",364,40
"R Dravid",6,40
"Yuvraj Singh",27,40
"SR Watson",32,40
"SK Trivedi",39,40
"RV Uthappa",46,40
"AM Rahane",85,40
"BJ Hodge",104,40
"AD Mathews",191,40
"R Sharma",235,40
"MR Marsh",253,40
"AJ Finch",254,40
"STR Binny",255,40
"WD Parnell",267,40
"B Kumar",299,40
"KK Cooper",309,40
"JP Faulkner",310,40
"K Upadhyay",332,40
"A Chandila",335,40
"UA Birla",365,40
"Sachin Baby",369,40
"BB McCullum",2,40
"JH Kallis",9,40
"MEK Hussey",19,40
"MS Dhoni",20,40
"SK Raina",21,40
"S Badrinath",23,40
"YK Pathan",31,40
"RA Jadeja",35,40
"G Gambhir",40,40
"DJ Bravo",71,40
"R Bhatia",89,40
"DB Das",95,40
"L Balaji",151,40
"R Ashwin",201,40
"EJG Morgan",216,40
"RS Bopara",161,39
"MC Henriques",163,39
"KV Sharma",166,39
"DA Warner",187,39
"EJG Morgan",216,39
"STR Binny",255,39
"B Kumar",299,39
"SPD Smith",306,39
"JP Faulkner",310,39
"KK Nair",339,39
"GH Vihari",340,39
"CH Morris",350,39
"PV Tambe",370,39
"DJ Hooda",394,39
"TA Boult",458,39
"RG More",399,39
"MM Sharma",364,39
"GH Vihari",340,39
"A Ashish Reddy",325,39
"P Negi",322,39
"F du Plessis",303,39
"B Kumar",299,39
"EJG Morgan",216,39
"DA Warner",187,39
"KV Sharma",166,39
"MC Henriques",163,39
"DR Smith",147,39
"A Nehra",73,39
"DJ Bravo",71,39
"S Dhawan",42,39
"RA Jadeja",35,39
"SK Raina",21,39
"MS Dhoni",20,39
"P Kumar",14,39
"BB McCullum",2,39
"DJ Hussey",4,39
"V Kohli",8,39
"P Kumar",14,39
"RP Singh",61,39
"P Kumar",14,39
"SR Watson",32,39
"S Dhawan",42,39
"DS Kulkarni",80,39
"I Sharma",84,39
"PP Chawla",67,39
"R Vinay Kumar",81,39
"M Kartik",83,39
"SE Marsh",100,39
"AB de Villiers",110,39
"MS Gony",120,39
"CH Gayle",162,39
"MC Henriques",163,39
"CA Pujara",203,39
"R Sathish",209,39
"Mandeep Singh",236,39
"KB Arun Karthik",239,39
"DA Miller",320,39
"Gurkeerat Singh",329,39
"P Awana",333,39
"R Rampaul",349,39
"MG Neser",454,39
"AM Rahane",85,39
"AA Jhunjhunwala",211,39
"S Tyagi",218,39
"MJ Lumb",224,39
"S Narwal",226,39
"FY Fazal",229,39
"SW Tait",238,39
"DE Bollinger",248,39
"SB Wagh",273,39
"A Mukund",152,39
"L Balaji",151,39
"MM Patel",126,39
"M Ntini",122,39
"M Muralitharan",121,39
"MS Gony",120,39
"JA Morkel",109,39
"Sohail Tanvir",102,39
"SA Asnodkar",101,39
"Pankaj Singh",75,39
"GC Smith",74,39
"SK Warne",38,39
"D Salunkhe",37,39
"M Kaif",33,39
"YK Pathan",31,39
"T Kohli",30,39
"S Badrinath",23,39
"SK Raina",21,39
"MS Dhoni",20,39
"AG Murtaza",286,39
"NLTC Perera",280,39
"DJ Jacobs",263,39
"RV Gomez",259,39
"KM Jadhav",237,39
"KA Pollard",221,39
"R Sathish",209,39
"AT Rayudu",208,39
"SL Malinga",194,39
"RR Powar",153,39
"SR Tendulkar",133,39
"MM Patel",126,39
"BJ Hodge",104,39
"R Vinay Kumar",81,39
"IK Pathan",29,39
"V Sehwag",41,39
"Harbhajan Singh",50,39
"LRPL Taylor",52,39
"RG Sharma",57,39
"RP Singh",61,39
"DPMD Jayawardene",64,39
"AB Agarkar",82,39
"SR Tendulkar",133,39
"KP Pietersen",158,39
"M Morkel",190,39
"SL Malinga",194,39
"Y Nagar",199,39
"AT Rayudu",208,39
"KA Pollard",221,39
"UT Yadav",232,39
"AC Blizzard",289,39
"S Nadeem",293,39
"RJ Peterson",323,39
"R Shukla",342,39
"M Vijay",185,39
"AS Raut",169,39
"M Muralitharan",121,39
"JA Morkel",109,39
"SK Warne",38,39
"SR Watson",32,39
"YK Pathan",31,39
