player_name,player_id,total_six
"KC Sangakkara",26,18
"DJ Hussey",4,18
"SC Ganguly",1,18
"ML Hayden",18,18
"MS Dhoni",20,18
"SK Raina",21,18
"S Badrinath",23,18
"AC Gilchrist",53,18
"VVS Laxman",55,18
"A Symonds",56,18
"RG Sharma",57,18
"WPUJC Vaas",60,18
"RP Singh",61,18
"HH Gibbs",97,18
"JA Morkel",109,18
"GJ Maxwell",305,18
"SPD Smith",306,18
"JP Faulkner",310,18
"DA Miller",320,18
"KK Nair",339,18
"CH Morris",350,18
"MG Johnson",357,18
"Sandeep Sharma",367,18
"PV Tambe",370,18
"AR Patel",374,18
"Shivam Sharma",381,18
"R Tewatia",390,18
"DJ Hooda",394,18
"Anureet Singh",395,18
"JJ Bumrah",375,18
"CJ Anderson",372,18
"AD Russell",334,18
"SP Narine",315,18
"SA Yadav",308,18
"Shakib Al Hasan",276,18
"AJ Finch",254,18
"UT Yadav",232,18
"KA Pollard",221,18
"AT Rayudu",208,18
"Anand Rajan",446,18
"PA Reddy",331,18
"V Pratap Singh",326,18
"A Ashish Reddy",325,18
"DJ Harris",313,18
"P Parameswaran",294,18
"J Syed Mohammad",283,18
"AUK Pathan",261,18
"A Mithun",244,18
"CH Gayle",162,18
"A Mishra",136,18
"TM Dilshan",135,18
"M Muralitharan",121,18
"AB de Villiers",110,18
"DW Steyn",94,18
"S Dhawan",42,18
"KC Sangakkara",26,18
"Z Khan",15,18
"CL White",10,18
"V Kohli",8,18
"SL Malinga",194,18
"M Morkel",190,18
"PP Ojha",131,18
"MK Pandey",96,18
"R Vinay Kumar",81,18
"PP Chawla",67,18
"RG Sharma",57,18
"Harbhajan Singh",50,18
"RV Uthappa",46,18
"G Gambhir",40,18
"YK Pathan",31,18
"Yuvraj Singh",27,18
"DS Kulkarni",80,18
"AM Rahane",85,18
"MK Tiwary",87,18
"A Mishra",136,18
"JP Duminy",154,18
"AD Mathews",191,18
"KM Jadhav",237,18
"STR Binny",255,18
"SPD Smith",306,18
"JP Faulkner",310,18
"KK Nair",339,18
"JD Unadkat",346,18
"CH Morris",350,18
"PV Tambe",370,18
"NM Coulter-Nile",371,18
"TG Southee",377,18
"Imran Tahir",386,18
"SS Iyer",393,18
"DJ Hooda",394,18
"Harbhajan Singh",50,18
"RG Sharma",57,18
"AB de Villiers",110,18
"Iqbal Abdulla",140,18
"CH Gayle",162,18
"SL Malinga",194,18
"AT Rayudu",208,18
"KA Pollard",221,18
"AN Ahmed",246,18
"UBT Chand",262,18
"VR Aaron",296,18
"JJ Bumrah",375,18
"RR Rossouw",380,18
"YS Chahal",382,18
"LMP Simmons",383,18
"HH Pandya",400,18
"D Wiese",401,18
"MJ McClenaghan",403,18
"MEK Hussey",19,18
"MS Dhoni",20,18
"SK Raina",21,18
"RA Jadeja",35,18
"Harbhajan Singh",50,18
"RG Sharma",57,18
"DJ Bravo",71,18
"A Nehra",73,18
"R Vinay Kumar",81,18
"DR Smith",147,18
"SL Malinga",194,18
"R Ashwin",201,18
"AT Rayudu",208,18
"KA Pollard",221,18
"F du Plessis",303,18
"DJ Hussey",4,18
"P Negi",322,18
"MM Sharma",364,18
"LMP Simmons",383,18
"J Suchith",398,18
"HH Pandya",400,18
"MJ McClenaghan",403,18
"BW Hilfenhaus",451,18
"MM Sharma",364,18
"IC Pandey",359,18
"Mohammed Shami",347,18
"JD Unadkat",346,18
"F du Plessis",303,18
"S Nadeem",293,18
"WD Parnell",267,18
"KM Jadhav",237,18
"R Ashwin",201,18
"M Vijay",185,18
"M Manhas",171,18
"KP Pietersen",158,18
"JP Duminy",154,18
"DR Smith",147,18
"LR Shukla",63,18
"RA Jadeja",35,18
"SK Raina",21,18
"MS Dhoni",20,18
"BB McCullum",2,18
"MG Johnson",357,18
"M Vohra",345,18
"P Awana",333,18
"Gurkeerat Singh",329,18
"Azhar Mahmood",321,18
"DA Miller",320,18
"Mandeep Singh",236,18
"KA Pollard",221,18
"AT Rayudu",208,18
"SL Malinga",194,18
"DR Smith",147,18
"SR Tendulkar",133,18
"V Kohli",8,18
"PP Ojha",131,18
"MS Gony",120,18
"SE Marsh",100,18
"DS Kulkarni",80,18
"V Kohli",8,18
"MS Dhoni",20,18
"SR Watson",32,18
"RP Singh",61,18
"AM Rahane",85,18
"R Bhatia",89,18
"AB Dinda",106,18
"AB de Villiers",110,18
"GJ Bailey",197,18
"R Ashwin",201,18
"STR Binny",255,18
"NLTC Perera",280,18
"VR Aaron",296,18
"Parvez Rasool",366,18
"Sachin Baby",369,18
"YS Chahal",382,18
"TM Head",417,18
"UT Khawaja",426,18
"A Zampa",430,18
"CJ Jordan",434,18
"PP Chawla",67,18
"RG Sharma",57,18
"Harbhajan Singh",50,18
"P Kumar",14,18
"SR Watson",32,18
"V Sehwag",41,18
"AM Rahane",85,18
"SE Marsh",100,18
"M Vijay",185,18
"STR Binny",255,18
"KB Arun Karthik",239,17
"R Sharma",235,17
"AD Mathews",191,17
"TL Suman",178,17
"BAW Mendis",174,17
"MC Henriques",163,17
"CH Gayle",162,17
"M Muralitharan",121,17
"AB de Villiers",110,17
"AB Dinda",106,17
"M Kartik",83,17
"R Vinay Kumar",81,17
"RP Singh",61,17
"AM Nayar",48,17
"RV Uthappa",46,17
"Yuvraj Singh",27,17
"V Kohli",8,17
"YS Chahal",382,17
"RR Rossouw",380,17
"MA Starc",378,17
"DJG Sammy",362,17
"HV Patel",311,17
"B Kumar",299,17
"VR Aaron",296,17
"AJ Finch",254,17
"DA Warner",187,17
